day,total_err,false_pos,false_neg
1,1.03,0.68,0.35
2,0.87625,0.5675,0.30875
3,0.8425,0.5358333333333334,0.30666666666666664
4,0.84125,0.5475,0.29375
5,0.8155,0.5285,0.287
6,0.7916666666666666,0.5145833333333333,0.27708333333333335
7,0.7996428571428571,0.52,0.27964285714285714
8,0.7928125,0.5146875,0.278125
9,0.8080555555555555,0.5233333333333333,0.2847222222222222
10,0.8095,0.524,0.2855
11,0.8031818181818182,0.5188636363636364,0.2843181818181818
12,0.7941666666666667,0.5160416666666666,0.278125
13,0.7725,0.5023076923076923,0.2701923076923077
14,0.7632142857142857,0.4926785714285714,0.27053571428571427
15,0.7471666666666666,0.483,0.26416666666666666
16,0.73796875,0.475,0.26296875
17,0.7291176470588235,0.46941176470588236,0.2597058823529412
18,0.7213888888888889,0.4626388888888889,0.25875
19,0.7096052631578947,0.45539473684210524,0.2542105263157895
20,0.70225,0.449625,0.252625
21,0.6994047619047619,0.4444047619047619,0.255
22,0.6948863636363637,0.4434090909090909,0.2514772727272727
23,0.6929347826086957,0.43978260869565217,0.25315217391304345
24,0.6920833333333334,0.4365625,0.2555208333333333
25,0.6933,0.4358,0.2575
26,0.6888461538461539,0.43634615384615383,0.2525
27,0.6832407407407407,0.43157407407407405,0.25166666666666665
28,0.6803571428571429,0.42848214285714287,0.251875
29,0.6787931034482758,0.42560344827586205,0.2531896551724138
